AP1,angle_AP1,location_AP1_X,location_AP1_y,AP2,angle_AP2,location_AP2_X,location_AP2_y,AP3 ,angle_AP3,location_AP3_X,location_AP3_y,target_X ,target_y
-44,86.09,9.6,7.5,-49,19.57,0,0,-36,26.05,0,7.5,9,3.2
-41,86.09,9.6,7.5,-45,19.57,0,0,-40,26.05,0,7.5,9,3.2
-44,86.09,9.6,7.5,-51,19.57,0,0,-37,26.05,0,7.5,9,3.2
-45,86.09,9.6,7.5,-49,19.57,0,0,-36,26.05,0,7.5,9,3.2
-44,86.09,9.6,7.5,-49,19.57,0,0,-38,26.05,0,7.5,9,3.2
-45,86.09,9.6,7.5,-48,19.57,0,0,-38,26.05,0,7.5,9,3.2
-50,86.09,9.6,7.5,-47,19.57,0,0,-36,26.05,0,7.5,9,3.2
-46,86.09,9.6,7.5,-48,19.57,0,0,-37,26.05,0,7.5,9,3.2
-43,86.09,9.6,7.5,-46,19.57,0,0,-36,26.05,0,7.5,9,3.2
-46,86.09,9.6,7.5,-48,19.57,0,0,-36,26.05,0,7.5,9,3.2
-45,86.09,9.6,7.5,-48,19.57,0,0,-35,26.05,0,7.5,9,3.2
-45,86.09,9.6,7.5,-48,19.57,0,0,-37,26.05,0,7.5,9,3.2
-47,86.09,9.6,7.5,-48,19.57,0,0,-37,26.05,0,7.5,9,3.2
-44,86.09,9.6,7.5,-47,19.57,0,0,-37,26.05,0,7.5,9,3.2
-45,86.09,9.6,7.5,-47,19.57,0,0,-37,26.05,0,7.5,9,3.2
-45,86.09,9.6,7.5,-47,19.57,0,0,-37,26.05,0,7.5,9,3.2
-44,86.09,9.6,7.5,-47,19.57,0,0,-37,26.05,0,7.5,9,3.2
-45,86.09,9.6,7.5,-47,19.57,0,0,-36,26.05,0,7.5,9,3.2
-44,86.09,9.6,7.5,-47,19.57,0,0,-38,26.05,0,7.5,9,3.2
-46,86.09,9.6,7.5,-47,19.57,0,0,-36,26.05,0,7.5,9,3.2
-45,86.09,9.6,7.5,-47,19.57,0,0,-37,26.05,0,7.5,9,3.2
-43,86.09,9.6,7.5,-47,19.57,0,0,-36,26.05,0,7.5,9,3.2
-46,86.09,9.6,7.5,-47,19.57,0,0,-36,26.05,0,7.5,9,3.2
-45,86.09,9.6,7.5,-47,19.57,0,0,-35,26.05,0,7.5,9,3.2
-43,86.09,9.6,7.5,-48,19.57,0,0,-38,26.05,0,7.5,9,3.2
-43,86.09,9.6,7.5,-48,19.57,0,0,-36,26.05,0,7.5,9,3.2
-45,86.09,9.6,7.5,-48,19.57,0,0,-38,26.05,0,7.5,9,3.2
-46,86.09,9.6,7.5,-48,19.57,0,0,-37,26.05,0,7.5,9,3.2
-45,86.09,9.6,7.5,-47,19.57,0,0,-39,26.05,0,7.5,9,3.2
-46,86.09,9.6,7.5,-49,19.57,0,0,-36,26.05,0,7.5,9,3.2
-45,86.09,9.6,7.5,-50,19.57,0,0,-36,26.05,0,7.5,9,3.2
-46,86.09,9.6,7.5,-50,19.57,0,0,-37,26.05,0,7.5,9,3.2
-44,86.09,9.6,7.5,-48,19.57,0,0,-36,26.05,0,7.5,9,3.2
-46,86.09,9.6,7.5,-49,19.57,0,0,-38,26.05,0,7.5,9,3.2
-45,86.09,9.6,7.5,-49,19.57,0,0,-36,26.05,0,7.5,9,3.2
-44,86.09,9.6,7.5,-49,19.57,0,0,-38,26.05,0,7.5,9,3.2
-45,86.09,9.6,7.5,-47,19.57,0,0,-36,26.05,0,7.5,9,3.2
-43,86.09,9.6,7.5,-56,19.57,0,0,-37,26.05,0,7.5,9,3.2
-44,86.09,9.6,7.5,-52,19.57,0,0,-37,26.05,0,7.5,9,3.2
-45,86.09,9.6,7.5,-53,19.57,0,0,-38,26.05,0,7.5,9,3.2
-44,86.09,9.6,7.5,-48,19.57,0,0,-37,26.05,0,7.5,9,3.2
-45,86.09,9.6,7.5,-50,19.57,0,0,-37,26.05,0,7.5,9,3.2
-44,86.09,9.6,7.5,-62,19.57,0,0,-36,26.05,0,7.5,9,3.2
-44,86.09,9.6,7.5,-48,19.57,0,0,-37,26.05,0,7.5,9,3.2
-44,86.09,9.6,7.5,-48,19.57,0,0,-36,26.05,0,7.5,9,3.2
-45,86.09,9.6,7.5,-47,19.57,0,0,-37,26.05,0,7.5,9,3.2
-46,86.09,9.6,7.5,-46,19.57,0,0,-39,26.05,0,7.5,9,3.2
-44,86.09,9.6,7.5,-47,19.57,0,0,-37,26.05,0,7.5,9,3.2
-45,86.09,9.6,7.5,-47,19.57,0,0,-37,26.05,0,7.5,9,3.2
-46,86.09,9.6,7.5,-46,19.57,0,0,-36,26.05,0,7.5,9,3.2
